N° Enr.,TENUESTOCK,ARCLEUNIK,DATECRE,CODEART,DESIGN,LIBART,CODEFAM,DEVISE,UNITE
1,1,706,11/17/2020,04809              ,1/2 RACCORD SYM AR DN100 A VERROU / DOUILLE CRANTEE DE 110 - BRONZE,1/2 RAC AR100 AV DC 110 BZE   ,PF ,   ,UNI     
2,2,9623,06/26/2019,26046              ,MAINTENANCE SITE MACHINE : AFFUTAGE LAME HM Z96,AFFUTAGE LAME HM Z96          ,AST,   ,UNI     
3,2,15319,11/05/2020,14922.2            ,DECOUPE POUR REF 14922 CARTER GYROFOAM L2 - INOX 304L,DECOUPE POUR REF 14922        ,ACO,   ,UNI     
4,1,22945,08/20/2019,00338.DSP40        ,TUYAU DN40 30M EQUIPE DEVIDOIR AVEC RACCORDS DSP40 - ALU,TUYAU DN40 30M EQUIPE DEVIDOIR,PSF,   ,UNI     
5,1,26885,01/02/2017,AC**30RP00000030   ,ROND ACIER ETIRE Ø30MM,ROND ACIER ETIRE Ø30MM        ,MAP,   ,M       
6,1,26886,01/02/2017,ACCI60TC00020202   ,Tube carré Acier TS34.1 6M Dim. 20 x 20 EP 2 mmLG BARRE 6M,CARRE ACIER 20x20MM           ,MAP,   ,M       
7,1,26887,01/02/2017,40911              ,ROBINET DOSEUR MIXY EDUCTOR MODELE 95 GPM GRAVEE : 6% 3% 2% 1% 0.50% OFF - ALU - OAD NOIRE + IMPREGATION TEFLON,ROBINET DOSEUR MIXY 95 GPM    ,PSF,   ,UNI     
8,1,26888,01/02/2017,40910              ,ROBINET DOSEUR MIXY EDUCTOR MODELE 60 GPM GRAVEE : 6% 3% 2% 1% 0.50% OFF - ALU - OAD NOIRE + IMPREGATION TEFLON,ROBINET DOSEUR MIXY 60 GPM    ,PSF,   ,UNI     
9,1,26889,01/02/2017,40909              ,ROBINET DOSEUR MIXY EDUCTOR MODELE 400L/MIN GRAVEE : 6% 5% 4% 3% 2% 1% 0.50% 0.25% 0.10% OFF - ALU - OAD NOIRE + IMPREGATION TEFLON,ROBINET DOSEUR MIXY 400L/MIN  ,PSF,   ,UNI     
10,1,26890,01/02/2017,40908              ,ROBINET DOSEUR MIXY EDUCTOR MODELE 200L/MIN GRAVEE : 6% 5% 4% 3% 2% 1% 0.50% 0.25% 0.10% OFF - ALU - OAD NOIRE + IMPREGATION TEFLON,ROBINET DOSEUR MIXY 200L/MIN  ,PSF,   ,UNI     
11,1,26898,01/02/2017,ACCE60PL00004010   ,PLAT ACIER ETIRE 40X10MM,PLAT ACIER ETIRE 40X10MM      ,MAP,   ,M       
12,1,26899,01/02/2017,ACCA60RC00269219   ,Rond Acier 6M Dim. 26.9*22.9mm,Rond Acier 6M Dim. 26.9*22.9mm,MAP,   ,M       
13,1,26900,01/02/2017,ACCI60TJ00005246   ,Tube a Jupe Acier TS34.1 6M Dim. 52 x 46 mm,Rond Acier 0 6M Dim. 52 X 46 m,MAP,   ,M       
14,1,26904,01/02/2017,ACCE60UU00050255   ,U Acier 0 6M Dim. 50 x 25 EP 5PRIX AU METRE LINEAIRE ,U Acier 0 6M Dim. 50 x 25 EP 5,MAP,   ,M       
15,1,26905,01/02/2017,AC**60UU00080456   ,U Acier 0 6M Dim. 80 x 45 EP 6,U Acier 0 6M Dim. 80 x 45 EP 6,MAP,   ,M       
16,1,26909,01/02/2017,41057              ,station mousse DN 40 - 200 LPM sans emplacement pour bidonsLance mousse 30319Proportionneur 30314,STATION MOUSS DN 40 - 200 LPM ,PF ,   ,UNI     
17,1,26913,01/02/2017,40650              ,ETIQUETTE CAPTEUR ANGULAIRE SITECORRESPOND AU TC009929,ETIQUETTE CAPTEUR ANG. SITE   ,ACO,   ,UNI     
18,1,26914,01/02/2017,40582              ,ETIQUETTE ELEVATEURCORRESPOND AU TC009930,ETIQUETTE ELEVATEUR           ,ACO,   ,UNI     
19,1,26915,01/02/2017,40584              ,"ETIQUETTE AUTOCOLLANTE DE REPERAGE DE CABLE ""SITE"" SELON PLAN A4-40584",ETIQUETTE SITE                ,ACO,   ,UNI     
20,1,26916,01/02/2017,40585              ,"ETIQUETTE AUTOCOLLANTE DE REPERAGE DE CABLE ""AZIMUT"" SELON PLAN A4-40585",ETIQUETTE AZIMUT              ,ACO,   ,UNI     
21,1,26917,01/02/2017,40586              ,"ETIQUETTE AUTOCOLLANTE DE REPERAGE DE CABLE ""DIFFUSEUR"" SELON PLAN A4-40586",ETIQUETTE DIFFUSEUR           ,ACO,   ,UNI     
22,1,26918,01/02/2017,40587              ,ETIQUETTE DEBIT VARIABLECORRESPOND AU TC009935,ETIQUETTE DEBIT VARIABLE      ,ACO,   ,UNI     
